STRNBR,addr:street,APN,STRDIRECT,STRNAME,STRAPART,STRFRACT,BLDSQFTTAXABLE,@lat,@lon,Total Taxable Value
1740,San Lorenzo Avenue,062 288301900,nan,SAN LORENZO AVE,nan,nan,2940,37.8933978,-122.2828973,1813267.0
3001,Dwight Way,055 185303601,nan,DWIGHT WAY,nan,nan,2085,37.8666204,-122.2466328,1033092.0
2212,Sacramento Street,056 199801500,nan,SACRAMENTO ST,nan,nan,12118,37.8665391,-122.2829917,2942149.0
584,Euclid Avenue,063 295301800,nan,EUCLID AVE,nan,nan,2802,37.9013184,-122.2681959,612370.0
691,Arlington Avenue,062 291607200,nan,ARLINGTON AVE,nan,nan,2901,37.8977182,-122.276147,1786304.0
2010,Hearst Avenue,057 205104800,nan,HEARST AVE,COM,nan,0,37.8735073,-122.2703878,0.0
1453,Summit Road,060 249201601,nan,SUMMIT RD,nan,nan,3251,37.88294,-122.24782,1856536.0
2320,Haste Street,055 188201600,nan,HASTE ST,nan,nan,12519,37.8653249,-122.2621755,428379.0
974,Regal Road,063 297501503,nan,REGAL RD,nan,nan,2879,37.8926914,-122.262502,496933.0
1609,Ashby Avenue,053 160801900,nan,ASHBY AVE,nan,nan,1121,37.8538118,-122.2764484,766106.0
2516,Mathews Street,054 178100400,nan,MATHEWS ST,nan,nan,1300,37.8607638,-122.2874159,46659.0
1411,Cypress Street,059 228202700,nan,CYPRESS ST,nan,nan,2050,37.8800468,-122.278193,1702894.0
82,Hillcrest Road,064 424901100,nan,HILLCREST RD,nan,nan,4006,37.852017,-122.2468047,2627924.0
2241,Ninth Street,056 197502200,nan,NINTH ST,nan,nan,4804,37.8646533,-122.2927436,1044444.0
3212,California Street,052 153600200,nan,CALIFORNIA ST,nan,nan,996,37.8494443,-122.2763017,210737.0
109,Hillcrest Road,064 425001801,nan,HILLCREST RD,nan,nan,4157,37.8531308,-122.2467804,2352517.0
1325,Carlotta Avenue,060 244504600,nan,CARLOTTA AVE,nan,nan,1038,37.8818746,-122.2794027,256402.0
1831,Blake Street,054 181400600,nan,BLAKE ST,nan,nan,2108,37.8625718,-122.2727501,275250.0
1100,Fourth Street,060 238300200,nan,FOURTH ST,nan,nan,3158,37.8809632,-122.3040241,0.0
950,San Benito Road,061 258801400,nan,SAN BENITO RD,nan,nan,2785,37.8909107,-122.2677607,617340.0
1281,Gilman Street,060 241101106,nan,GILMAN ST,nan,nan,5162,37.8816372,-122.2904199,441645.0
1727,Channing Way,055 190502300,nan,CHANNING WAY,nan,nan,2276,37.8649307,-122.2755788,292406.0
1730,Sonoma Avenue,061 262900900,nan,SONOMA AVE,nan,nan,3223,37.8861957,-122.280822,1408453.0
1071,Spruce Street,061 255501000,nan,SPRUCE ST,nan,nan,3029,37.8893889,-122.2665262,1545191.0
1097,Miller Avenue,063 297901501,nan,MILLER AVE,nan,nan,1446,37.8922757,-122.2568778,1249723.0
1229,Glen Avenue,060 246503900,nan,GLEN AVE,nan,nan,1488,37.8853257,-122.2639746,1641834.0
2041,Francisco Street,058 217500800,nan,FRANCISCO ST,nan,nan,19933,37.8758833,-122.2695086,650760.0
2604,Fulton Street,055 182500200,nan,FULTON ST,nan,nan,2138,37.8621794,-122.2651008,1030556.0
1250,Colusa Avenue,060 243601301,nan,COLUSA AVE,nan,nan,3205,37.8831185,-122.2797956,395541.0
220,Tunnel Road,064 426500200,nan,TUNNEL RD,nan,nan,3224,37.8535535,-122.2362873,557273.0
2731,Alcatraz Avenue,052 156311801,nan,ALCATRAZ AVE,nan,nan,2416,37.851885,-122.2511451,745853.0
1808,Cedar Street,058 216500300,nan,CEDAR ST,nan,nan,992,37.8774627,-122.2754551,391030.0
849,Colusa Avenue,062 288702400,nan,COLUSA AVE,nan,nan,2280,37.8931974,-122.2801356,637067.0
1925,Tenth Street,057 208801300,nan,TENTH ST,nan,nan,8517,37.8693803,-122.2932205,2521986.0
1310,Ninth Street,060 235100107,nan,NINTH ST,nan,nan,6975,37.8793473,-122.2983039,1230859.0
1645,Fairview Street,052 154300600,nan,FAIRVIEW ST,nan,nan,1716,37.8504199,-122.274201,946430.0
